abad;abad,jaman
cemburu;sasegha,neduh,ighi,haati,pegagho,cebughu
cemerlang;teghang,jayo,kemilou,nyegilak,menghilap,nyinang
cemeti;pemukul,cambuk
cemooh;angon,unyah,ngehina,kambo
cempaka;cempaka,cepako,cepakou
cempedak;akakan,akan-akan,kakan
cemplung;cabbus,cughus,cappak
cendana;cenana,cedano,cendana
cendawa;kulak,kulat,kolat
cendekia;pittogh,nalom
cederung;ngegegohi,nyeghupa,cundung,cendung,mighip
cendol;cindol,cendol
cengang;cengong
cengeng;penghiwang,pingol,segik,timai,cinging
centeng;penjaga,centeng
centong;caghuk,cittung,cetung
cepat;geluk,ghikas,hallau,cetung
ceper;ghata,cepegh,payak
cerah;wewah,teghang,bunyau
cerai;liwak,pulipang,pengsiang,ceghai
ceramah;besugha,pedato,ceghamah,tablegh
cerca;ngehaya,upek,cambou,celou
cerdas;pintogh,nalom,ceghdas
cerdik;licik,kaccil
cerek;cegghek,cighik,tiku
cerewet;ghiwil,ceghewet,nyeghicic
cerita;waghahan,ceghita,ghuhan,ceghitop,wewaghah
cermai;cereme,cermei,ceghammen
cermat;nyejagh,teliti,asat,pasat
cermin;kaca,ceghemin,kacou
cerna;paham,saghing,ceghana
ceroboh;saebaghana,gghambau,gegabah,semeghanau,anjaeu
cerutu;segutu,seghuteu
cetak;citak
cetek;mekakkah,jejjek,jejok
cibir;ngemit,cemit,cemmet
cecer;gaigh,tegayigh
cicit;tuyuk,sibik,tuyut
cilaka;battas,celaka,puput,celakou
cina;cina,cinou
cincang;caccap,mampuk,ciccang
cincau;cincau
cincin;ali-ali,alei
cincong;kicik,umungan,pebalahan,litek,kecwaan,lattih
cinta;geghing,demon,suka,ilingcettou,bugguh
cipta;nyani,ngeguai,cipta
ciri;tanda,tandou,cighi
cita;peghasaan,ago,cita,itou
cium;hambau,sekekki,sium,sekkei
ciut;lunik,kemeghet,kemeghet
coba;abai,cuboi,cuba,cobou
cocok;akogh,setuju,cucuk,pas
colek;jubil,cilak,culik,tuwil
colok;cucuk
comot;cattik,cakkem,cakkuk
congkak;nuha,ngasei,neduh,akeh,abut
congkel;cukkil,uppil,cekil
conteng;coughing,cughit
contoh;tabaian,cetteu,cettu
copet;maling,cupit,copet
corak;ghupa,upo,wagho,cughak
coreng;coughing,,cogheng
coret;cughit
corong;coghong,kebul,cuughung
cotok;paguk,cecak
cuaca;cuaca
cubit;pitot,pitit,sibik,cubik,kubit
cuci;basuh,kecah,puppoh,kiyau,beghassih
cucu;umpu,appeu,uppu,tamen,tamong
cucuk;sussuk,cudok,cucuk,cubek
cuil;cuil,cutik
cuka;cuka,cukou
cukai;biaya,cukai,biyo
cukup;sedong,cukup,pas,makkughang
cukur;gunting,cukogh,getting
cula;cula,culo,colou
culas;haghas,ighi,ghiwet
cuma;ikah,kidah,cumo,aden
cumbu;gagunik,ghayu,cumbeu,gallou
cundang;pangkuh,cendang
cuping;kuping
curah;tukkop,cughah,tuang,tiling
curam;tingil,tegak,picek,cughem
curang;tipu,muslihat,patgelipat
curi;maling
curiga;sakko,ceghiga,neduh-teduh
cuti;pegheui,peghlup,cuti
dacing;tingbangan,dacin,dacing
dada;dada,dadou
